Original,Furigana,English,Romaji
ああ,ああ,"Ah!, Oh!",a a
会う,あう,"to meet, to see",a u
青,あお,blue,a o
青い,あおい,blue,a o i
赤,あか,red,a ka
赤い,あかい,red,a ka i
明るい,あかるい,bright (in reference to personality or weather); cheerful,a ka ru i
秋,あき,fall (season),a ki
開く,あく,"to open, to become open",a ku
開ける,あける,to open (v.t.),a ke ru
上げる,あげる,"to raise, to lift",a ge ru
朝,あさ,morning,a sa
朝御飯,あさごはん,breakfast,a sa go ha n
明後日,あさって,day after tomorrow,a sa っ te
足; 脚,あし,foot; leg,a shi
明日,あした,tomorrow,a shi ta
あそこ,あそこ,"there, over there, that place",a so ko
遊ぶ,あそぶ,to play; to spend time pleasantly; to hang out,a so bu
暖かい,あたたかい,warm,a ta ta ka i
頭,あたま,head,a ta ma
新しい,あたらしい,new,a ta ra shi i
あちら,あちら,this way (polite),a chi ra
暑い,あつい,"hot (in reference to weather), warm",a tsu i
熱い,あつい,hot (objects),a tsu i
厚い,あつい,"kind, warm(hearted), thick, deep",a tsu i
あっち,あっち,over there,a っ chi
後,あと,afterwards (later); in the future; the rest; since then,a to
あなた,あなた,you,a na ta
兄,あに,(my) older brother (humble),a ni
姉,あね,(my) older sister (humble),a ne
アパート,アパート,apartment (abbr.),a pa ー to
あの,あの,"that over there; like that, that way; um...",a no
浴びる,あびる,"to bathe, to shower",a bi ru
危ない,あぶない,"dangerous, critical",a bu na i
甘い,あまい,"generous, sweet",a ma i
余り,あまり,not very; surplus,a ma ri
雨,あめ,rain,a me
飴,あめ,(hard) candy,a me
洗う,あらう,to wash,a ra u
在る,ある,"to be, to have",a ru
有る,ある,"to be, to have",a ru
歩く,あるく,to walk,a ru ku
あれ,あれ,that one (over there),a re
いい; よい,いい; よい,good,i i ;   yo i
いいえ,いいえ,"no, not at all",i i e
言う,いう,to say,i u
家,いえ,"house, home",i e
いかが,いかが,"how, in what way",i ka ga
行く,いく; ゆく,to go,i ku ;   yu ku
いくつ,いくつ,"how many, how old",i ku tsu
いくら,いくら,"how much, how many",i ku ra
池,いけ,pond,i ke
医者,いしゃ,doctor; physician,i shi ゃ
椅子,いす,chair,i su
忙しい,いそがしい,"busy (people, days)",i so ga shi i
痛い,いたい,hurt; painful; sore,i ta i
一,いち,one,i chi
一日,いちにち,one day (duration),i chi ni chi
一番,いちばん,"best (most), first, number one",i chi ba n
いつ,いつ,when,i tsu
五日,いつか,five days; fifth day of the month,i tsu ka
一緒,いっしょ,together,i っ shi ょ
五つ,いつつ,five things,i tsu tsu
いつも,いつも,"always, usually, every time, never (with neg. verb)",i tsu mo
犬,いぬ,dog,i nu
今,いま,now,i ma
